c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Price X Owners,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,2224,Crazy Chicken,7/6/2016,$4.99,N/A (N/A),"$309,065.63","61,937","±7,111","30,968","±5,028",2:14:00,2:41:00
1,599,Mighty No. 9,6/21/2016,$19.99,17% (59%/52%),"$1,225,307.04","61,296","±7,074","44,210","±6,008",4:45:00,2:14:00
1,1555,Redactem,8/1/2016,$3.99,N/A (N/A),"$240,309.72","60,228","±7,012","3,844","±1,771",49:56:00,0:43:00
1,607,Dinocide,1/21/2016,$9.99,N/A (N/A/51%),"$593,146.26","59,374","±6,962","16,872","±3,711",2:44:00,2:42:00
1,2219,Survive in Space,5/20/2016,$4.99,N/A (N/A),"$295,208.40","59,160","±6,950","26,910","±4,687",3:27:00,3:30:00
1,2394,Toy Soldiers: Complete,2/17/2016,$14.99,41% (76%),"$886,808.40","59,160","±6,950","49,763","±6,374",7:22:00,4:51:00
1,226,Furi,7/5/2016,$19.99,87% (93%/76%),"$1,178,350.53","58,947","±6,937","50,831","±6,442",6:39:00,4:35:00
1,1021,Death Road to Canada,7/21/2016,$14.99,90% (94%),"$851,596.89","56,811","±6,810","51,685","±6,496",9:37:00,4:29:00
1,1583,Neon Space 2,7/26/2016,$0.99,52% (81%),"$54,974.70","55,530","±6,733","25,629","±4,574",3:21:00,3:46:00
1,2215,Tracks of Triumph: Industrial Zone,6/17/2016,$0.51,41% (76%),"$27,013.17","52,967","±6,576","34,599","±5,315",4:17:00,3:21:00
1,2162,Neon Space,5/12/2016,$0.99,64% (86%),"$52,225.47","52,753","±6,563","26,910","±4,687",2:47:00,3:00:00
1,2177,Star Drifter,6/1/2016,$0.99,6% (42%),"$52,225.47","52,753","±6,563","37,376","±5,524",3:42:00,3:32:00
1,2348,Beater Spirit,6/1/2016,$5.99,N/A (N/A),"$315,990.47","52,753","±6,563","24,988","±4,517",2:20:00,3:14:00
1,456,ToyOdyssey,9/20/2016,$14.99,49% (80%/66%),"$781,158.88","52,112","±6,523","9,824","±2,832",3:46:00,2:31:00
1,1517,EVERSPACE™,9/14/2016,$29.99,70% (88%),"$1,562,838.88","52,112","±6,523","48,909","±6,319",7:36:00,2:28:00
1,566,Shattered Skies,7/21/2016,$19.99,7% (44%/56%),"$1,037,461.01","51,899","±6,509","34,813","±5,331",30:34:00,8:53:00
1,3421,The Ship: Remasted,10/31/2016,$19.99,17% (59%),"$1,033,183.15","51,685","±6,496","30,114","±4,958",1:19:00,0:49:00
1,3021,Shantae: Half-Genie Hero,12/20/2016,$19.99,93% (95%),"$1,020,369.56","51,044","±6,455","39,298","±5,664",6:52:00,5:58:00
1,3118,INTERSHELTER,11/20/2016,$12.99,37% (74%),"$663,061.56","51,044","±6,455","34,599","±5,315",4:49:00,3:46:00
1,752,Doorways: Holy Mountains of Flesh,8/10/2016,$19.99,73% (89%),"$1,007,575.96","50,404","±6,415","33,958","±5,265",3:25:00,3:17:00
1,161,Hover Junkers,4/5/2016,$34.99,43% (77%/80%),"$1,726,266.64","49,336","±6,346","45,278","±6,080",2:16:00,1:01:00
1,2261,BoneBone,6/17/2016,$1.99,N/A (N/A),"$97,752.78","49,122","±6,333","36,521","±5,460",3:21:00,3:22:00
1,3530,Surfingers,1/27/2016,$1.99,67% (87%),"$97,752.78","49,122","±6,333","30,328","±4,976",2:36:00,2:53:00
1,1771,Fly and Destroy,7/29/2016,$1.99,N/A (N/A),"$97,328.91","48,909","±6,319","24,775","±4,497",2:58:00,3:23:00
1,2863,Make America Great Again: The Trump Presidency,9/26/2016,$2.24,77% (90%),"$108,120.32","48,268","±6,277","41,434","±5,816",1:56:00,1:41:00
1,3161,Nuked Knight,10/19/2016,$0.99,N/A (N/A),"$47,573.46","48,054","±6,263","23,493","±4,379",2:53:00,3:13:00
1,203,Crashlands,1/21/2016,$14.99,77% (90%/78%),"$713,928.73","47,627","±6,236","45,064","±6,066",15:12:00,6:35:00
1,3064,30 IMPOSSIBLE LEVELS,4/25/2016,$3.99,N/A (N/A),"$189,181.86","47,414","±6,222","8,970","±2,706",0:18:00,0:05:00
1,3215,The Brookhaven Experiment,7/5/2016,$19.99,70% (88%),"$947,805.86","47,414","±6,222","41,434","±5,816",6:30:00,1:35:00
1,3062,Dungeon Souls,12/2/2016,$12.99,67% (87%),"$610,361.13","46,987","±6,194","42,288","±5,876",10:34:00,3:49:00
1,113,The Bug Butcher,1/19/2016,$7.99,87% (93%/81%),"$373,716.27","46,773","±6,179","34,599","±5,315",2:38:00,1:56:00
1,1642,Nanooborg,9/7/2016,$4.99,N/A (N/A),"$232,329.41","46,559","±6,165","22,853","±4,319",3:08:00,3:20:00
1,2654,Cat on a Diet,2/29/2016,$0.49,73% (89%),"$22,813.91","46,559","±6,165","29,473","±4,905",2:40:00,3:03:00
1,3,Tumblestone,7/12/2016,$24.99,49% (80%/91%),"$1,152,838.68","46,132","±6,137","10,038","±2,863",3:31:00,1:36:00
1,908,Zombie Playgroundâ„¢,10/31/2016,$9.99,17% (59%),"$460,858.68","46,132","±6,137","12,601","±3,207",0:34:00,0:15:00
1,35,Shu,10/4/2016,$11.99,N/A (N/A/85%),"$550,568.81","45,919","±6,123","4,485","±1,913",1:53:00,2:24:00
1,2322,"Bye-Bye, Wacky Planet",11/4/2016,$4.99,N/A (N/A),"$228,067.95","45,705","±6,108","24,348","±4,458",3:31:00,3:58:00
1,3448,Tempest,8/22/2016,$14.99,34% (72%),"$675,509.36","45,064","±6,066","38,016","±5,571",5:54:00,2:05:00
1,2984,Crea,6/9/2016,$14.99,45% (78%),"$669,108.63","44,637","±6,037","41,861","±5,846",14:10:00,7:56:00
1,1534,Rocket Riot,10/19/2016,$9.99,N/A (N/A),"$443,795.76","44,424","±6,022","4,058","±1,820",4:21:00,4:41:00
1,2100,Gloria Victis,6/9/2016,$19.99,23% (65%),"$888,035.76","44,424","±6,022","41,647","±5,831",24:26:00,4:36:00
1,2765,Love is Blind: Mutants,3/15/2016,$59.99,N/A (N/A),"$2,664,995.76","44,424","±6,022","30,968","±5,028",3:37:00,3:32:00
1,1104,Guardian's Oath,9/28/2016,$1.99,N/A (N/A),"$87,977.90","44,210","±6,008","2,349","±1,385",0:14:00,0:13:00
1,2304,Super Blue Fighter,5/5/2016,$1.99,N/A (N/A),"$87,554.03","43,997","±5,993","34,172","±5,282",3:53:00,3:29:00
1,2294,Bullet Life 2010,5/18/2016,$0.79,N/A (N/A),"$34,419.51","43,569","±5,964","3,631","±1,721",0:25:00,0:08:00
1,2842,Space Pirates and Zombies 2,5/17/2016,$19.99,56% (83%),"$862,408.58","43,142","±5,935","40,366","±5,741",16:52:00,11:32:00
1,3067,Holopoint,4/4/2016,$14.99,90% (94%),"$646,698.58","43,142","±5,935","40,152","±5,725",1:45:00,0:47:00
1,2764,Wolcen: Lords of Mayhem,3/24/2016,$19.99,47% (79%),"$849,594.99","42,501","±5,891","37,803","±5,555",2:31:00,1:23:00
1,1141,Gunmetal Arcadia Zero,11/15/2016,$5.99,N/A (N/A),"$253,305.12","42,288","±5,876","2,776","±1,505",0:30:00,0:54:00
1,3054,Risky Rescue,2/19/2016,$0.49,61% (85%),"$20,721.12","42,288","±5,876","26,056","±4,612",2:32:00,2:23:00
1,3464,Suits: A Business RPG,1/5/2016,$0.99,73% (89%),"$41,442.39","41,861","±5,846","27,124","±4,706",2:37:00,1:54:00
1,2168,Heavenly Battle,6/15/2016,$0.49,N/A (N/A),"$20,407.03","41,647","±5,831","27,338","±4,724",3:09:00,3:15:00
1,3017,Final Approach,4/4/2016,$14.99,90% (94%),"$624,288.53","41,647","±5,831","18,581","±3,895",1:21:00,0:41:00
1,1069,Spin Rush,9/16/2016,$0.99,64% (86%),"$41,019.66","41,434","±5,816","21,358","±4,176",3:08:00,3:12:00
1,950,"Hot Dogs, Horseshoes & Hand Grenades",4/5/2016,$19.99,93% (95%),"$823,987.80","41,220","±5,801","41,006","±5,786",6:35:00,3:15:00
1,31,Thumper,10/10/2016,$19.99,90% (94%/86%),"$819,709.94","41,006","±5,786","38,230","±5,587",3:28:00,1:56:00
1,3361,"Linea, the Game",1/4/2016,$1.99,73% (89%),"$81,601.94","41,006","±5,786","29,260","±4,887",2:32:00,2:30:00
